registro,padre_irr,madre_irr,abuelo_paterno_irr,abuela_paterna_irr,abuelo_materno_irr,abuela_materna_irr,nombre,criadero
0,0.14775552221355806,,0.1578947368421052,0.0526315789473684,,,,
100004,0.2105263157894736,,,,,,SOMBRERO,TONADA
100028,0.1052631578947368,,,,,,GUAINA,HUELEQUEN
100035,0.1052631578947368,,,,0.3072781823396756,,ARROYITO,EL CORTESANO
100043,0.1052631578947368,,0.543346070093266,,,,PEREGRINO,PAMPA GRANDE
100049,0.0526315789473684,,,,,,RUMAY,SANTA MATILDE
100055,0.1797321171781913,,,,0.0526315789473684,,ESCABECHE,EL ABOLENGO
100060,0.2362874399112535,,,,,,CAMBALACHE,LOS TACOS
100063,0.5675991293100433,,,,,,ORO VIEJO,TAMAYA
100065,0.0526315789473684,,,,,,PATOTERO,CAMPANAL
100095,0.1052631578947368,,,,,,CANTINERO,PURISIMA
100113,0.0848329840995932,,,,,,PUÃAL,CASAS DE POLPAICO
100114,0.3329635564320637,,0.0526315789473684,,0.1117034389251818,,CASCABELERO,LONGOVILO
100117,0.117034389251818,,,,,,DISPUESTO II,SAN MAXIMO
100127,0.0526315789473684,,,,,,ROSICLER,BUENA ESTRELLA
100130,0.0526315789473684,,,,,,DON YAMAL,"SANTA GILDA """"B"
100134,0.4144580235769668,,0.0526315789473684,,0.14464439787994574,,DESATADO,EL ESTABLO
100142,0.19380049809733055,,0.19746096975273122,,0.7873436359436968,,PASCUERO,MALALCO
100161,0.37012613500965524,,0.25420107646164586,,,,REPARITO,TRES LUGARES
100162,0.3570612876165615,,,,,,DON GUILLERMO,LOS REYUNOS
100172,0.7336871497786079,,,,,,RECHAZADO,TRONGOL
100182,0.5106138250081246,,,,0.08341907898532397,,BABIECA,SAN LEONARDO
100200,0.6162291418779737,,0.28088004873805517,,0.08341907898532397,,LAGARTO,PALMIRA
100231,0.2748971229911569,,1.800431231660721,,2.0161191124090174,,EL TRUENO,PACHACAMA
100238,0.1052631578947368,,,,,,GANADOR,SAN CAMILO DE ILLAPEL
100277,0.0590718599778133,,,,,,CACHORRITO,EL LEONCITO
100279,0.08341907898532397,,0.1052631578947368,,0.0526315789473684,,REBENQUE,SAN LUIS DE QUILICURA
100284,1.2038859608142336,,0.13533622240534698,,0.4843239442376847,,CAMPANAZO,EL AROMO DE PICHIDEGUA
100304,0.7045980335454018,,,,,,OCURRENTE,AGRICOLA LOS MORROS
100316,0.2136514994269905,,,,0.08341907898532397,,COSCORRON,MALLARAUCO
100324,2.4722775385736835,,0.5566562955124298,,,,ARRESTAO,MAICOYA
100325,0.605602120054234,,,,,,CLAVELITO,FLORES DE CODIGUA
100330,0.37045084487632407,,0.7919183203911416,,0.39652796443565136,,CATEALO,LOS RETOÃOS
100331,0.08341907898532397,,,,0.5871646328937097,,TAN LACHO,LOS ÃISÃILES
100333,0.46902091293808273,,0.8494391716997413,,0.0526315789473684,,AGUAITALO,CHOCALAN
100346,0.17704576189800905,,,,,,MOHICANO,ALAMO VIEJO
